nr,lab,github,name,colab,link
1,lab-langchain-basics,code,1_model_prompt_parser.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/1_model_prompt_parser.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/1_model_prompt_parser.ipynb )
2,lab-langchain-basics,code,2_memory.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/2_memory.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/2_memory.ipynb )
3,lab-langchain-basics,code,4_qa.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/4_qa.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/4_qa.ipynb )
4,lab-langchain-basics,code,5_evaluation.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/5_evaluation.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/5_evaluation.ipynb )
5,lab-langchain-basics,code,6_agents.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/6_agents.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/6_agents.ipynb )
6,lab-langchain-basics,code,3_chains.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/3_chains.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-basics/blob/main/code/3_chains.ipynb )
